7.292  -66.15984807
7.302  -66.16074729
7.312  -66.16160549
7.322  -66.16242332
7.332  -66.16320156
7.342  -66.16394088
7.352  -66.16464201
7.362  -66.16530560
7.372  -66.16593236
7.382  -66.16652295
7.392  -66.16707804
7.396  -66.16729028
7.400  -66.16749698
7.404  -66.16769819
7.408  -66.16789395
7.412  -66.16808429
7.416  -66.16826928
7.420  -66.16844892 
7.424  -66.16862327
7.428  -66.16879237
7.432  -66.16895619
7.436  -66.16911496
7.440  -66.16749698
7.450  -66.16963025
7.460  -66.16996070
7.470  -66.17026045
7.480  -66.17053011
7.490  -66.17077020
7.500  -66.17098127
7.510  -66.17116390
7.520  -66.17131857 
7.540  -66.17154608
7.550  -66.17161992
7.560  -66.17166776
7.570  -66.17169012
7.571  -66.17169097
7.572  -66.17169157
7.573  -66.17169192
7.574  -66.17169201
7.575  -66.17169187
7.576  -66.17169147 
7.577  -66.17169083
7.578  -66.17168993
7.579  -66.17168880
7.580  -66.17168741
7.590  -66.17166014
7.595  -66.17163741
7.600  -66.17160869
7.650  -66.17100423 
7.700  -66.16985793
7.750  -66.16821737
